name;class
1;UK
2;UK
3;France
4;US
5;Denmark
6;Australia
7;France
8;US
9;Denmark
10;Switzerland
11;US
12;China
13;Spain
14;UK
15;Philippines
16;US
17;Australia
18;UK
19;UK
20;Brazil
21;US
22;Columbia
23;UK
24;Chile
25;Germany
26;Ethiopia
27;South Africa
28;France
29;UK
30;US
31;US
32;US
33;UK
34;UK
35;Mexico
36;US
37;UK
38;UK
39;UK
40;UK
41;Sweden
42;UK
43;UK
44;France
45;Italy
46;Kenya
47;UK
48;UK
49;Italy
50;Germany
51;UK
52;UK
53;South Africa
54;No data
55;The Netherlands
56;UK
57;UK
58;US
59;UK
60;Greece
61;UK
62;UK
63;The Netherlands
64;Australia
65;UK
66;France
67;UK
68;UK
69;UK
70;UK
71;UK
72;Kenya
73;South Africa
74;Senegal
75;US
76;Denmark
77;Singapore
78;Indonesia
79;Australia
80;Jamaica
81;US
82;UK
83;UK
84;France
85;France
86;UK
87;The Netherlands
88;UK
89;UK
90;US
91;US
92;UK
93;UK
94;UK
95;The Netherlands
96;Germany
97;UK
98;US
99;UK
100;UK
101;Denmark
102;UK
103;US
