name;class
1;Business
2;Business
3;Business
4;Business
5;Communication
6;Communication
7;Communication
8;Economics
9;Economics
10;Economics
11;Engineering
12;Engineering
13;Engineering
14;Engineering
15;Engineering
16;Engineering
17;Engineering
18;Engineering
19;Environemntal studies
20;Environmenal studies
21;Environmental studies
22;Environmental studies
23;Environmental studies
24;Environmental studies
25;Environmental studies
26;Environmental studies
27;Environmental studies
28;Environmental studies
29;Environmental studies
30;Environmental studies
31;Environmental studies
32;Environmental studies
33;Environmental studies
34;Environmental studies
35;Environmental studies
36;Environmental studies
37;Environmental studies
38;Environmental studies
39;Environmental studies
40;Environmental studies
41;Environmental studies
42;Environmental studies
43;Environmental studies
44;Environmental studies
45;Environmental studies
46;Environmental studies
47;Environmental studies
48;Environmental studies
49;Environmental studies
50;Environmental studies
51;Environmental studies
52;Environmental studies
53;Environmental studies
54;Environmental studies
55;Environmental studies
56;Environmental studies
57;Environmental studies
58;Environmental studies
59;Environmental studies 
60;History
61;Law
62;Law
63;Law
64;Mathematics
65;Natural sciences
66;Natural sciences
67;No data
68;No data
69;Philosophy
70;Political science
71;Political science
72;Political Science
73;Political Science
74;Political Science
75;Political Science
76;Political Science
77;Political Science
78;Political Science
79;Political Science
80;Political Science
81;Political Science
82;Political Science
83;Political Science
84;Political Science
85;Political science
86;Political science
87;Political Science
88;Political Science
89;Political Science
90;Political Science
91;Political Science
92;Political science
93;Political science
94;Political Science
95;Political science
96;Political science
97;Political science
98;Political Science
99;Political science
100;Political science
101;Political science
102;Political science
103;Political science
