name;class
1;Business
2;Business
3;Business
4;Business
5;Communication
6;Communication
7;Communication
8;Economics
9;Economics
10;Economics
11;Engineering
12;Engineering
13;Engineering
14;Engineering
15;Engineering
16;Engineering
17;Engineering
18;Engineering
19;Environmental Studies
20;Environmental Studies
21;Environmental Studies
22;Environmental Studies
23;Environmental Studies
24;Environmental Studies
25;Environmental Studies
26;Environmental Studies
27;Environmental Studies
28;Environmental Studies
29;Environmental Studies
30;Environmental Studies
31;Environmental Studies
32;Environmental Studies
33;Environmental Studies
34;Environmental Studies
35;Environmental Studies
36;Environmental Studies
37;Environmental Studies
38;Environmental Studies
39;Environmental Studies
40;Environmental Studies
41;Environmental Studies
42;Environmental Studies
43;Environmental Studies
44;Environmental Studies
45;Environmental Studies
46;Environmental Studies
47;Environmental Studies
48;Environmental Studies
49;Environmental Studies
50;Environmental Studies
51;Environmental Studies
52;Environmental Studies
53;Environmental Studies
54;Environmental Studies
55;Environmental Studies
56;Environmental Studies
57;Environmental Studies
58;Environmental Studies
59;Environmental Studies
60;History
61;Law
62;Law
63;Law
64;Mathematics
65;Natural sciences
66;Natural sciences
67;No data
68;No data
69;Philosophy
70;Political Science
71;Political Science
72;Political Science
73;Political Science
74;Political Science
75;Political Science
76;Political Science
77;Political Science
78;Political Science
79;Political Science
80;Political Science
81;Political Science
82;Political Science
83;Political Science
84;Political Science
85;Political Science
86;Political Science
87;Political Science
88;Political Science
89;Political Science
90;Political Science
91;Political Science
92;Political Science
93;Political Science
94;Political Science
95;Political Science
96;Political Science
97;Political Science
98;Political Science
99;Political Science
100;Political Science
101;Political Science
102;Political Science
103;Political Science
104;Environmental Studies
105;Environmental Studies
106;Political Science
107;Political Science
108;Environmental Studies
109;Political Science
110;Political Science
111;Environmental Studies
112;Environmental Studies
113;Medicines
114;Environmental Studies
115;Environmental Studies
116;Environmental Studies
117;Political science
