name;Class
1;Environmental studies
2;Environmental studies
3;Environmental studies
4;Environmental studies
5;Environmental studies
6;Environmental studies
7;Environmental studies
8;Environmental studies
9;Environmental studies
10;Environmental studies
11;Environmental studies
12;Environmental studies
13;Environmental studies
14;Environmental studies
15;Environmental studies
16;Environmental studies
17;Environmental studies
18;Environmental studies
19;Environmental studies
20;Environmental studies
21;Environmental studies
22;Environmental studies
23;Environmental studies
24;Environmental studies
25;Environmental studies
26;Environmental studies
27;Environmental studies
28;Environmental studies
29;Environmental studies
30;Environmental studies
31;Environmental studies
32;Environmental studies
33;Environmental studies
34;Environmental studies
35;Environmental studies
36;Environmental studies
37;Environmental studies
38;Environmental studies
39;Environmental studies
40;Environmental studies
41;Political/social science
42;Political/social science
43;Political/social science
44;Political/social science
45;Political/social science
46;Political/social science
47;Political/social science
48;Political/social science
49;Political/social science
50;Political/social science
51;Political/social science
52;Political/social science
53;Political/social science
54;Political/social science
55;Political/social science
56;Political/social science
57;Political/social science
58;Political/social science
59;Political/social science
60;Political/social science
61;Political/social science
62;Political/social science
63;Political/social science
64;Political/social science
65;Political/social science
66;Political/social science
67;Political/social science
68;Political/social science
69;Political/social science
70;Political/social science
71;Political/social science
72;Political/social science
73;Political/social science
74;Political/social science
75;Political/social science
76;Engineering
77;Engineering
78;Engineering
79;Engineering
80;Engineering
81;Engineering
82;Engineering
83;Engineering
84;Business
85;Business
86;Business
87;Business
88;Economics
89;Economics
90;Economics
91;Communication
92;Communication
93;Communication
94;Law
95;Law
96;Law
97;No data
98;No data
99;No data
100;Philosophy
101;Mathmatics
102;Natural sciences
103;History
