name;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
1;;;;;;;;;;;;Business;Business;Business;Business;Business;Consultancy;Consultancy;Business;NGO
2;;;;;;;;;;;;State authority;State authority;State authority;State authority;State authority;State authority;NGO;NGO;NGO
3;;;;;;;;;;;;;Business;Business;NGO;NGO;NGO;NGO;NGO;NGO
4;;;;;;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;Academia
5;;;;;;;;;;;;;;;Business;Municipal authority;Municipal authority;Municipal authority;State authority;State authority
6;;;;;;;;;;;;;;;Consultancy;Consultancy;NGO;Consultancy;Consultancy;NGO
7;;;;;;;;;;Politics;Politics;Politics;Politics;Consultancy;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority;NGO
8;;;;;;;;;;;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO
9;;;;;;;;;;State authority;State authority;State authority;State authority;Municipal authority;Municipal authority;Politics;Politics;Municipal authority;Municipal authority;Municipal authority
10;Business;State authority;State authority;NGO;NGO;NGO;NGO;NGO;IO;IO;IO;IO;IO;IO;State authority;State authority;IO;IO;IO;IO
11;;;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;IO;NGO;NGO;NGO;NGO
12;;;IO;Engineering;Engineering;Business;Business;Engineering;Engineering;Engineering;NGO;NGO;NGO;NGO;NGO;IO;IO;IO;IO;IO
13;;;;;;;;;;;;;;Engineering;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority
14;;;;;;;;;;;;;;;Academia;Academia;Academia;Academia;Academia;Academia
15;;;;;;;;;;;NGO;NGO;NGO;NGO;Engineering;Engineering;Engineering;Engineering;Engineering;Engineering
16;;;;;;;;;;;;;NGO;NGO;NGO;NGO;Academia;Academia;Academia;Consultancy
17;;;;;;;;;;;;;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy
18;;;;;;;;;State authority;State authority;State authority;Business association;State authority;State authority;State authority;Business association;State authority;Academia;Academia;Academia
19;;;;;;;;;;;;;;Academia;;Academia;IO;Municipal authority;Municipal authority;Municipal authority
20;;;;;;;;;;;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority;Municipal authority
21;;;;;;;;;;;;Academia;Academia;NGO;NGO;NGO;NGO;NGO;NGO;NGO
22;;;;;;;;;;;;;;Academia;NGO;NGO;NGO;IO;Academia;NGO
23;;;;;;;;;State authority;State authority;State authority;State authority;State authority;State authority;State authority;NGO;State authority;Municipal authority;Municipal authority;Municipal authority
24;;;;;;;;;;;;;;NGO;Business association;Business;State authority;State authority;State authority;State authority
25;;;;Academia;Academia;Business;Business;Business;Business;Business;Business;Business;Business;IO;State authority;State authority;State authority;State authority;State authority;IO
26;;;;;;;;;NGO;NGO;NGO;NGO;NGO;NGO;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy
27;;;;;;;;NGO;NGO;Consultancy;Consultancy;NGO;NGO;NGO;IO;IO;IO;Consultancy;Consultancy;Consultancy
28;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy;Consultancy
29;;;;;;;;;Politics;Politics;Politics;Politics;Politics;Business;NGO;NGO;NGO;NGO;Consultancy;Consultancy
30;;;;;;;;;;Municipal authority;Municipal authority;Academia;Academia;Academia;Municipal authority;Municipal authority;Municipal authority;NGO;NGO;NGO
31;;Consultancy;Consultancy;Consultancy;Consultancy;Politics;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;NGO;Politics;Politics;Politics;Politics
